m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap,p_orb_isco_rest_days,p_orb_isco_obs_days,in_stripe82,in_ptf,in_lsst,expected_sin_stripe82,expected_saw_stripe82,expected_sin_lsst,expected_saw_lsst
5.784071e+06,5.784071e+06,0.17939700,4.57422917,5.035327e+06,1.156814e+07,1.00000000,0.25000000,1,3.801107e-04,gap,0,0,1,6.089844e-02,3.394619e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.592309e+06,1.592309e+06,0.17941000,4.57382545,1.386185e+06,3.184618e+06,1.00000000,0.25000000,1,1.380754e-03,lisa,0,1,0,1.676486e-02,9.344438e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.417307e+06,1.417307e+06,0.17950299,4.57093772,1.233838e+06,2.834615e+06,1.00000000,0.25000000,1,1.551242e-03,lisa,0,1,0,1.492233e-02,8.313136e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
5.104886e+06,5.104886e+06,0.17981599,4.56124060,4.444062e+06,1.020977e+07,1.00000000,0.25000000,1,4.306829e-04,gap,0,0,1,5.374754e-02,2.989030e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.611633e+06,1.611633e+06,0.18003500,4.55447567,1.403008e+06,3.223265e+06,1.00000000,0.25000000,1,1.364199e-03,lisa,0,1,0,1.696831e-02,9.425006e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.326380e+06,1.326380e+06,0.18004900,4.55404355,1.154681e+06,2.652761e+06,1.00000000,0.25000000,1,1.657584e-03,lisa,0,1,0,1.396499e-02,7.756216e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.362396e+06,1.362396e+06,0.18041600,4.54274557,1.186035e+06,2.724792e+06,1.00000000,0.25000000,1,1.613765e-03,lisa,0,1,0,1.434418e-02,7.950616e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
3.625731e+06,3.625731e+06,0.18045600,4.54151712,3.156382e+06,7.251461e+06,1.00000000,0.25000000,1,6.063846e-04,lisa,0,1,0,3.817403e-02,2.115421e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.166755e+06,2.166755e+06,0.18046200,4.54133272,1.886270e+06,4.333511e+06,1.00000000,0.25000000,1,1.014691e-03,lisa,0,1,0,2.281300e-02,1.264144e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
6.562312e+06,6.562312e+06,0.18056899,4.53804938,5.712824e+06,1.312462e+07,1.00000000,0.25000000,1,3.350324e-04,gap,0,0,1,6.909226e-02,3.826363e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.537408e+06,1.537408e+06,0.18067600,4.53476947,1.338391e+06,3.074815e+06,1.00000000,0.25000000,1,1.430061e-03,lisa,0,1,0,1.618682e-02,8.959032e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.550605e+06,1.550605e+06,0.18093100,4.52696879,1.349880e+06,3.101211e+06,1.00000000,0.25000000,1,1.417890e-03,lisa,0,1,0,1.632577e-02,9.023204e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.338840e+06,1.338840e+06,0.18101101,4.52452594,1.165528e+06,2.677679e+06,1.00000000,0.25000000,1,1.642159e-03,lisa,0,1,0,1.409617e-02,7.787465e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.590360e+06,1.590360e+06,0.18101101,4.52452594,1.384489e+06,3.180720e+06,1.00000000,0.25000000,1,1.382446e-03,lisa,0,1,0,1.674434e-02,9.250454e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.491822e+06,1.491822e+06,0.18110500,4.52165862,1.298706e+06,2.983643e+06,1.00000000,0.25000000,1,1.473760e-03,lisa,0,1,0,1.570686e-02,8.672793e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.397567e+06,1.397567e+06,0.18114500,4.52043950,1.216653e+06,2.795134e+06,1.00000000,0.25000000,1,1.573153e-03,lisa,0,1,0,1.471449e-02,8.123045e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.642442e+06,1.642442e+06,0.18122600,4.51797203,1.429829e+06,3.284883e+06,1.00000000,0.25000000,1,1.338609e-03,lisa,0,1,0,1.729269e-02,9.542057e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.381494e+06,1.381494e+06,0.18125200,4.51718042,1.202660e+06,2.762988e+06,1.00000000,0.25000000,1,1.591456e-03,lisa,0,1,0,1.454526e-02,8.024883e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.217272e+06,1.217272e+06,0.18131299,4.51532454,1.059697e+06,2.434544e+06,1.00000000,0.25000000,1,1.806160e-03,lisa,0,1,0,1.281622e-02,7.068564e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.956820e+06,1.956820e+06,0.18131900,4.51514187,1.703511e+06,3.913640e+06,1.00000000,0.25000000,1,1.123551e-03,lisa,0,1,0,2.060267e-02,1.136266e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.554192e+06,1.554192e+06,0.18133301,4.51471585,1.353003e+06,3.108385e+06,1.00000000,0.25000000,1,1.414617e-03,lisa,0,1,0,1.636354e-02,9.024028e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
2.052820e+07,2.052820e+07,0.18142000,4.51207148,1.787083e+07,4.105639e+07,1.00000000,0.25000000,1,1.071009e-04,gap,0,0,1,2.161341e-01,1.191347e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
4.307425e+07,4.307425e+07,0.18163000,4.50569838,3.749832e+07,8.614851e+07,1.00000000,0.25000000,1,5.104180e-05,gap,0,0,1,4.535136e-01,2.496909e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
1.369055e+06,1.369055e+06,0.18165500,4.50494054,1.191832e+06,2.738110e+06,1.00000000,0.25000000,1,1.605916e-03,lisa,0,1,0,1.441430e-02,7.934985e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
2.305344e+06,2.305344e+06,0.18174300,4.50227531,2.006918e+06,4.610688e+06,1.00000000,0.25000000,1,9.536917e-04,lisa,0,1,0,2.427215e-02,1.335520e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.091689e+06,2.091689e+06,0.18175000,4.50206329,1.820921e+06,4.183377e+06,1.00000000,0.25000000,1,1.051106e-03,lisa,0,1,0,2.202265e-02,1.211700e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
5.039209e+06,5.039209e+06,0.18184701,4.49912820,4.386886e+06,1.007842e+07,1.00000000,0.25000000,1,4.362961e-04,gap,0,0,1,5.305605e-02,2.917620e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.393862e+06,1.393862e+06,0.18184701,4.49912820,1.213427e+06,2.787724e+06,1.00000000,0.25000000,1,1.577335e-03,lisa,0,1,0,1.467548e-02,8.070233e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.847490e+06,1.847490e+06,0.18185700,4.49882586,1.608334e+06,3.694981e+06,1.00000000,0.25000000,1,1.190040e-03,lisa,0,1,0,1.945157e-02,1.069608e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
