m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap
1.276943e+06,1.276943e+06,0.15152600,5.59952730,1.111643e+06,2.553885e+06,1.00000000,0.25000000,1,1.721759e-03,lisa,0,1,0
1.403015e+06,1.403015e+06,0.15198100,5.57977001,1.221395e+06,2.806029e+06,1.00000000,0.25000000,1,1.567045e-03,lisa,0,1,0
1.293201e+06,1.293201e+06,0.15261300,5.55252178,1.125796e+06,2.586401e+06,1.00000000,0.25000000,1,1.700113e-03,lisa,0,1,0
1.462597e+06,1.462597e+06,0.15298600,5.53654562,1.273264e+06,2.925193e+06,1.00000000,0.25000000,1,1.503208e-03,lisa,0,1,0
2.884116e+07,2.884116e+07,0.15378299,5.50266962,2.510769e+07,5.768232e+07,1.00000000,0.25000000,1,7.623090e-05,gap,0,0,1
1.231975e+06,1.231975e+06,0.15389501,5.49793667,1.072497e+06,2.463950e+06,1.00000000,0.25000000,1,1.784604e-03,lisa,0,1,0
4.565441e+07,4.565441e+07,0.15405700,5.49110411,3.974448e+07,9.130883e+07,1.00000000,0.25000000,1,4.815717e-05,gap,0,0,1
1.348822e+06,1.348822e+06,0.15431701,5.48016718,1.174218e+06,2.697644e+06,1.00000000,0.25000000,1,1.630006e-03,lisa,0,1,0
1.752554e+07,1.752554e+07,0.15460600,5.46805430,1.525687e+07,3.505108e+07,1.00000000,0.25000000,1,1.254505e-04,gap,0,0,1
1.475033e+06,1.475033e+06,0.15515600,5.44512614,1.284090e+06,2.950065e+06,1.00000000,0.25000000,1,1.490535e-03,lisa,0,1,0
1.181566e+06,1.181566e+06,0.15543100,5.43372290,1.028613e+06,2.363133e+06,1.00000000,0.25000000,1,1.860740e-03,lisa,0,1,0
2.058946e+07,2.058946e+07,0.15555599,5.42855334,1.792417e+07,4.117892e+07,1.00000000,0.25000000,1,1.067822e-04,gap,0,0,1
1.400828e+06,1.400828e+06,0.15589200,5.41469737,1.219492e+06,2.801656e+06,1.00000000,0.25000000,1,1.569491e-03,lisa,0,1,0
9.553365e+06,9.553365e+06,0.15598799,5.41074984,8.316688e+06,1.910673e+07,1.00000000,0.25000000,1,2.301375e-04,gap,0,0,1
4.528226e+07,4.528226e+07,0.15616900,5.40331959,3.942049e+07,9.056451e+07,1.00000000,0.25000000,1,4.855295e-05,gap,0,0,1
3.706924e+07,3.706924e+07,0.15616900,5.40331959,3.227065e+07,7.413847e+07,1.00000000,0.25000000,1,5.931030e-05,gap,0,0,1
1.755536e+06,1.755536e+06,0.15620200,5.40196655,1.528283e+06,3.511072e+06,1.00000000,0.25000000,1,1.252374e-03,lisa,0,1,0
1.322043e+06,1.322043e+06,0.15626600,5.39934455,1.150905e+06,2.644086e+06,1.00000000,0.25000000,1,1.663022e-03,lisa,0,1,0
1.412293e+06,1.412293e+06,0.15656100,5.38728666,1.229472e+06,2.824585e+06,1.00000000,0.25000000,1,1.556751e-03,lisa,0,1,0
1.244076e+06,1.244076e+06,0.15672401,5.38064344,1.083031e+06,2.488152e+06,1.00000000,0.25000000,1,1.767245e-03,lisa,0,1,0
1.278984e+06,1.278984e+06,0.15673500,5.38019575,1.113421e+06,2.557969e+06,1.00000000,0.25000000,1,1.719010e-03,lisa,0,1,0
2.218172e+07,2.218172e+07,0.15783601,5.33569001,1.931031e+07,4.436345e+07,1.00000000,0.25000000,1,9.911706e-05,gap,0,0,1
2.825819e+06,2.825819e+06,0.15804000,5.32751194,2.460019e+06,5.651639e+06,1.00000000,0.25000000,1,7.780354e-04,lisa,0,1,0
1.346525e+06,1.346525e+06,0.15808700,5.32563081,1.172218e+06,2.693050e+06,1.00000000,0.25000000,1,1.632786e-03,lisa,0,1,0
3.791659e+06,3.791659e+06,0.15812799,5.32399096,3.300831e+06,7.583319e+06,1.00000000,0.25000000,1,5.798483e-04,gap,0,0,1
2.183422e+06,2.183422e+06,0.15822800,5.31999413,1.900779e+06,4.366844e+06,1.00000000,0.25000000,1,1.006946e-03,lisa,0,1,0
1.410781e+06,1.410781e+06,0.15842700,5.31205539,1.228156e+06,2.821562e+06,1.00000000,0.25000000,1,1.558419e-03,lisa,0,1,0
1.576661e+06,1.576661e+06,0.15850900,5.30878999,1.372563e+06,3.153322e+06,1.00000000,0.25000000,1,1.394458e-03,lisa,0,1,0
2.200148e+06,2.200148e+06,0.15868799,5.30167397,1.915340e+06,4.400295e+06,1.00000000,0.25000000,1,9.992909e-04,lisa,0,1,0
1.450840e+06,1.450840e+06,0.15878201,5.29794288,1.263030e+06,2.901680e+06,1.00000000,0.25000000,1,1.515389e-03,lisa,0,1,0
1.385642e+06,1.385642e+06,0.15892000,5.29247400,1.206272e+06,2.771284e+06,1.00000000,0.25000000,1,1.586692e-03,lisa,0,1,0
1.983614e+07,1.983614e+07,0.15906700,5.28665889,1.726836e+07,3.967228e+07,1.00000000,0.25000000,1,1.108375e-04,gap,0,0,1
1.416797e+06,1.416797e+06,0.15908501,5.28594755,1.233393e+06,2.833593e+06,1.00000000,0.25000000,1,1.551802e-03,lisa,0,1,0
1.333035e+07,1.333035e+07,0.15925600,5.27919842,1.160475e+07,2.666070e+07,1.00000000,0.25000000,1,1.649309e-04,gap,0,0,1
1.389308e+06,1.389308e+06,0.15984100,5.25621708,1.209463e+06,2.778615e+06,1.00000000,0.25000000,1,1.582506e-03,lisa,0,1,0
1.304383e+06,1.304383e+06,0.15993500,5.25254019,1.135531e+06,2.608766e+06,1.00000000,0.25000000,1,1.685538e-03,lisa,0,1,0
3.321996e+06,3.321996e+06,0.16001800,5.24929707,2.891965e+06,6.643992e+06,1.00000000,0.25000000,1,6.618273e-04,lisa,0,1,0
1.556968e+06,1.556968e+06,0.16014899,5.24418537,1.355419e+06,3.113936e+06,1.00000000,0.25000000,1,1.412096e-03,lisa,0,1,0
1.308837e+06,1.308837e+06,0.16033800,5.23682473,1.139409e+06,2.617673e+06,1.00000000,0.25000000,1,1.679803e-03,lisa,0,1,0
