m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut
4.565441e+07,1.669501e+06,0.15405700,5.49110411,6.226236e+06,4.732392e+07,0.03656823,0.03403362,1
1.720387e+06,1.348822e+06,0.15431701,5.48016718,1.324168e+06,3.069209e+06,0.78402251,0.24633599,1
1.752554e+07,1.368298e+06,0.15460600,5.46805430,3.738068e+06,1.889384e+07,0.07807451,0.06717562,1
1.980484e+07,1.475033e+06,0.15515600,5.44512614,4.109131e+06,2.127987e+07,0.07447838,0.06451116,1
3.688869e+07,1.181566e+06,0.15543100,5.43372290,4.650436e+06,3.807026e+07,0.03203058,0.03007321,1
2.058946e+07,1.370666e+06,0.15555599,5.42855334,3.999622e+06,2.196012e+07,0.06657124,0.05852035,1
2.866652e+07,1.400828e+06,0.15589200,5.41469737,4.641270e+06,3.006735e+07,0.04886635,0.04441909,1
9.553365e+06,1.320666e+06,0.15598799,5.41074984,2.839824e+06,1.087403e+07,0.13824090,0.10670092,1
4.528226e+07,1.291578e+06,0.15616900,5.40331959,5.328449e+06,4.657384e+07,0.02852283,0.02696278,1
3.706924e+07,1.291578e+06,0.15616900,5.40331959,4.912505e+06,3.836082e+07,0.03484232,0.03253559,1
1.755536e+06,1.606008e+06,0.15620200,5.40196655,1.461459e+06,3.361544e+06,0.91482510,0.24950534,1
8.038486e+06,1.322043e+06,0.15626600,5.39934455,2.639927e+06,9.360529e+06,0.16446420,0.12128835,1
1.412293e+06,1.353902e+06,0.15656100,5.38728666,1.203734e+06,2.766194e+06,0.95865524,0.24988861,1
1.269950e+06,1.244076e+06,0.15672401,5.38064344,1.094224e+06,2.514026e+06,0.97962604,0.24997352,1
7.529274e+06,1.278984e+06,0.15673500,5.38019575,2.518796e+06,8.808258e+06,0.16986823,0.12411900,1
2.218172e+07,1.311382e+06,0.15783601,5.33569001,4.018339e+06,2.349311e+07,0.05911992,0.05270400,1
2.825819e+06,2.137422e+06,0.15804000,5.32751194,2.135344e+06,4.963242e+06,0.75639034,0.24519064,1
1.568955e+06,1.346525e+06,0.15808700,5.32563081,1.264599e+06,2.915480e+06,0.85823058,0.24854486,1
3.791659e+06,1.373028e+06,0.15812799,5.32399096,1.937744e+06,5.164687e+06,0.36211791,0.19517339,1
2.183422e+06,1.760260e+06,0.15822800,5.31999413,1.704701e+06,3.943682e+06,0.80619319,0.24712161,1
1.410781e+06,1.326712e+06,0.15842700,5.31205539,1.190889e+06,2.737493e+06,0.94040998,0.24976422,1
1.576661e+06,1.404229e+06,0.15850900,5.30878999,1.294901e+06,2.980890e+06,0.89063508,0.24916347,1
2.926617e+07,2.200148e+06,0.15868799,5.30167397,6.105502e+06,3.146631e+07,0.07517717,0.06503182,1
2.478107e+06,1.450840e+06,0.15878201,5.29794288,1.639036e+06,3.928947e+06,0.58546293,0.23290951,1
1.385642e+06,1.290908e+06,0.15892000,5.29247400,1.164160e+06,2.676550e+06,0.93163150,0.24968681,1
1.983614e+07,1.211870e+06,0.15906700,5.28665889,3.663581e+06,2.104801e+07,0.06109407,0.05426143,1
1.416797e+06,1.313097e+06,0.15908501,5.28594755,1.187226e+06,2.729894e+06,0.92680708,0.24963925,1
1.333035e+07,1.366053e+06,0.15925600,5.27919842,3.332293e+06,1.469640e+07,0.10247686,0.08431150,1
1.389308e+06,1.274322e+06,0.15984100,5.25621708,1.158116e+06,2.663630e+06,0.91723557,0.24953412,1
1.332040e+06,1.304383e+06,0.15993500,5.25254019,1.147494e+06,2.636423e+06,0.97923694,0.24997249,1
3.321996e+06,2.289903e+06,0.16001800,5.24929707,2.392807e+06,5.611898e+06,0.68931532,0.24154413,1
1.556968e+06,1.316374e+06,0.16014899,5.24418537,1.245426e+06,2.873342e+06,0.84547305,0.24824720,1
1.308837e+06,1.248958e+06,0.16033800,5.23682473,1.112979e+06,2.557794e+06,0.95425024,0.24986299,1
