m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap
3.506230e+07,1.276943e+06,0.15152600,5.59952747,4.770149e+06,3.633924e+07,0.03641926,0.03390472,1,1.210035e-04,gap,0,0,1
2.228787e+06,1.403015e+06,0.15198100,5.57976984,1.531278e+06,3.631802e+06,0.62949712,0.23707543,1,1.210742e-03,lisa,0,1,0
3.341054e+06,1.293201e+06,0.15261300,5.55252174,1.770654e+06,4.634255e+06,0.38706378,0.20118226,1,9.488418e-04,lisa,0,1,0
1.462597e+06,1.420167e+06,0.15298600,5.53654583,1.254633e+06,2.882764e+06,0.97098996,0.24994584,1,1.525333e-03,lisa,0,1,0
2.884116e+07,3.779717e+06,0.15378299,5.50266977,8.313503e+06,3.262088e+07,0.13105288,0.10244264,1,1.347963e-04,gap,0,0,1
1.393348e+06,1.231975e+06,0.15389501,5.49793648,1.140146e+06,2.625323e+06,0.88418328,0.24905543,1,1.674908e-03,lisa,0,1,0
4.565441e+07,1.669501e+06,0.15405700,5.49110394,6.226235e+06,4.732391e+07,0.03656823,0.03403362,1,9.291655e-05,gap,0,0,1
1.720387e+06,1.348822e+06,0.15431701,5.48016703,1.324168e+06,3.069209e+06,0.78402243,0.24633599,1,1.432674e-03,lisa,0,1,0
1.752554e+07,1.368298e+06,0.15460600,5.46805428,3.738068e+06,1.889384e+07,0.07807451,0.06717563,1,2.327306e-04,gap,0,0,1
1.980484e+07,1.475033e+06,0.15515600,5.44512620,4.109131e+06,2.127987e+07,0.07447841,0.06451118,1,2.066354e-04,gap,0,0,1
3.688869e+07,1.181566e+06,0.15543100,5.43372300,4.650435e+06,3.807026e+07,0.03203058,0.03007320,1,1.155016e-04,gap,0,0,1
2.058946e+07,1.370666e+06,0.15555599,5.42855347,3.999622e+06,2.196013e+07,0.06657125,0.05852035,1,2.002345e-04,gap,0,0,1
2.866652e+07,1.400828e+06,0.15589200,5.41469735,4.641270e+06,3.006735e+07,0.04886634,0.04441908,1,1.462442e-04,gap,0,0,1
9.553365e+06,1.320666e+06,0.15598799,5.41074996,2.839825e+06,1.087403e+07,0.13824092,0.10670094,1,4.043739e-04,gap,0,0,1
4.528226e+07,1.291578e+06,0.15616900,5.40331948,5.328449e+06,4.657384e+07,0.02852283,0.02696278,1,9.441298e-05,gap,0,0,1
3.706924e+07,1.291578e+06,0.15616900,5.40331948,4.912505e+06,3.836082e+07,0.03484231,0.03253558,1,1.146267e-04,gap,0,0,1
1.755536e+06,1.606008e+06,0.15620200,5.40196668,1.461459e+06,3.361544e+06,0.91482487,0.24950534,1,1.308082e-03,lisa,0,1,0
8.038486e+06,1.322043e+06,0.15626600,5.39934471,2.639926e+06,9.360529e+06,0.16446418,0.12128834,1,4.697571e-04,gap,0,0,1
1.412293e+06,1.353902e+06,0.15656100,5.38728674,1.203734e+06,2.766195e+06,0.95865518,0.24988860,1,1.589611e-03,lisa,0,1,0
1.269950e+06,1.244076e+06,0.15672401,5.38064327,1.094224e+06,2.514026e+06,0.97962597,0.24997352,1,1.749057e-03,lisa,0,1,0
7.529274e+06,1.278984e+06,0.15673500,5.38019587,2.518796e+06,8.808258e+06,0.16986817,0.12411897,1,4.992105e-04,gap,0,0,1
2.218172e+07,1.311382e+06,0.15783601,5.33568981,4.018339e+06,2.349310e+07,0.05911994,0.05270402,1,1.871688e-04,gap,0,0,1
2.825819e+06,2.137422e+06,0.15804000,5.32751202,2.135343e+06,4.963241e+06,0.75639027,0.24519064,1,8.859483e-04,lisa,0,1,0
1.568955e+06,1.346525e+06,0.15808700,5.32563082,1.264599e+06,2.915480e+06,0.85823048,0.24854485,1,1.508216e-03,lisa,0,1,0
3.791659e+06,1.373028e+06,0.15812799,5.32399109,1.937744e+06,5.164687e+06,0.36211801,0.19517341,1,8.513923e-04,lisa,0,1,0
2.183422e+06,1.760260e+06,0.15822800,5.31999393,1.704701e+06,3.943682e+06,0.80619321,0.24712161,1,1.114992e-03,lisa,0,1,0
1.410781e+06,1.326712e+06,0.15842700,5.31205539,1.190889e+06,2.737493e+06,0.94040960,0.24976422,1,1.606278e-03,lisa,0,1,0
1.576661e+06,1.404229e+06,0.15850900,5.30879004,1.294901e+06,2.980890e+06,0.89063470,0.24916347,1,1.475121e-03,lisa,0,1,0
2.926617e+07,2.200148e+06,0.15868799,5.30167412,6.105504e+06,3.146632e+07,0.07517718,0.06503182,1,1.397423e-04,gap,0,0,1
2.478107e+06,1.450840e+06,0.15878201,5.29794270,1.639036e+06,3.928947e+06,0.58546302,0.23290952,1,1.119174e-03,lisa,0,1,0
1.385642e+06,1.290908e+06,0.15892000,5.29247420,1.164160e+06,2.676550e+06,0.93163169,0.24968681,1,1.642852e-03,lisa,0,1,0
1.983614e+07,1.211870e+06,0.15906700,5.28665908,3.663580e+06,2.104801e+07,0.06109404,0.05426142,1,2.089117e-04,gap,0,0,1
1.416797e+06,1.313097e+06,0.15908501,5.28594737,1.187226e+06,2.729894e+06,0.92680673,0.24963925,1,1.610749e-03,lisa,0,1,0
1.333035e+07,1.366053e+06,0.15925600,5.27919827,3.332294e+06,1.469640e+07,0.10247690,0.08431154,1,2.992007e-04,gap,0,0,1
1.389308e+06,1.274322e+06,0.15984100,5.25621712,1.158115e+06,2.663630e+06,0.91723506,0.24953411,1,1.650820e-03,lisa,0,1,0
1.332040e+06,1.304383e+06,0.15993500,5.25254009,1.147494e+06,2.636423e+06,0.97923711,0.24997249,1,1.667856e-03,lisa,0,1,0
3.321996e+06,2.289903e+06,0.16001800,5.24929695,2.392807e+06,5.611899e+06,0.68931540,0.24154414,1,7.835449e-04,lisa,0,1,0
1.556968e+06,1.316374e+06,0.16014899,5.24418549,1.245426e+06,2.873342e+06,0.84547274,0.24824719,1,1.530335e-03,lisa,0,1,0
1.308837e+06,1.248958e+06,0.16033800,5.23682471,1.112979e+06,2.557795e+06,0.95425022,0.24986299,1,1.719127e-03,lisa,0,1,0
3.519560e+07,1.332451e+06,0.16058800,5.22711535,4.899576e+06,3.652805e+07,0.03785845,0.03514687,1,1.203780e-04,gap,0,0,1
6.577281e+06,4.045365e+06,0.16077200,5.21998856,4.464326e+06,1.062265e+07,0.61505127,0.23579723,1,4.139435e-04,gap,0,0,1
5.155285e+07,1.304008e+06,0.16081400,5.21836407,5.648062e+06,5.285686e+07,0.02529459,0.02406192,1,8.319024e-05,gap,0,0,1
1.438875e+06,1.325614e+06,0.16098100,5.21191321,1.202101e+06,2.764489e+06,0.92128503,0.24958037,1,1.590592e-03,lisa,0,1,0
1.629451e+07,1.479377e+06,0.16104899,5.20929073,3.795907e+06,1.777389e+07,0.09078990,0.07630541,1,2.473952e-04,gap,0,0,1
9.137703e+07,1.710466e+06,0.16143601,5.19440483,8.367440e+06,9.308750e+07,0.01871877,0.01803719,1,4.723701e-05,gap,0,0,1
2.409123e+07,1.207765e+06,0.16144000,5.19425173,3.959900e+06,2.529900e+07,0.05013297,0.04546057,1,1.738083e-04,gap,0,0,1
1.253568e+06,1.243524e+06,0.16148201,5.19264028,1.086912e+06,2.497092e+06,0.99198767,0.24999596,1,1.760918e-03,lisa,0,1,0
2.213995e+06,1.220616e+06,0.16165000,5.18620476,1.418659e+06,3.434611e+06,0.55131832,0.22908707,1,1.280254e-03,lisa,0,1,0
2.484854e+06,1.548184e+06,0.16172700,5.18325944,1.698039e+06,4.033038e+06,0.62304828,0.23651507,1,1.090288e-03,lisa,0,1,0
1.951934e+06,1.637245e+06,0.16173300,5.18303006,1.555064e+06,3.589179e+06,0.83878092,0.24807818,1,1.225120e-03,lisa,0,1,0
1.173835e+07,1.314656e+06,0.16192500,5.17569863,3.089651e+06,1.305301e+07,0.11199666,0.09057287,1,3.368707e-04,gap,0,0,1
1.388800e+06,1.331175e+06,0.16203301,5.17158195,1.183619e+06,2.719975e+06,0.95850734,0.24988779,1,1.616623e-03,lisa,0,1,0
1.680942e+06,1.225065e+06,0.16205700,5.17066835,1.246143e+06,2.906007e+06,0.72879671,0.24384764,1,1.513133e-03,lisa,0,1,0
1.495143e+06,1.187874e+06,0.16205700,5.17066835,1.158636e+06,2.683017e+06,0.79448855,0.24672108,1,1.638892e-03,lisa,0,1,0
5.992368e+06,4.986109e+06,0.16220701,5.16496167,4.754531e+06,1.097848e+07,0.83207657,0.24789973,1,4.005268e-04,gap,0,0,1
1.397386e+06,1.373041e+06,0.16250101,5.15380791,1.205843e+06,2.770427e+06,0.98257819,0.24998070,1,1.587183e-03,lisa,0,1,0
1.035065e+08,1.269182e+06,0.16264400,5.14839773,7.362797e+06,1.047757e+08,0.01226186,0.01196659,1,4.196751e-05,gap,0,0,1
1.845143e+06,1.336427e+06,0.16288701,5.13922498,1.363505e+06,3.181570e+06,0.72429454,0.24360843,1,1.382077e-03,lisa,0,1,0
1.264870e+06,1.261887e+06,0.16297100,5.13606102,1.099834e+06,2.526757e+06,0.99764165,0.24999965,1,1.740244e-03,lisa,0,1,0
6.695822e+07,1.257821e+06,0.16308001,5.13195940,6.144356e+06,6.821604e+07,0.01878516,0.01809880,1,6.445954e-05,gap,0,0,1
4.406112e+07,1.516563e+06,0.16315500,5.12914100,5.796945e+06,4.557768e+07,0.03441953,0.03216707,1,9.647649e-05,gap,0,0,1
3.668054e+07,5.251417e+06,0.16327900,5.12448631,1.112547e+07,4.193196e+07,0.14316629,0.10955242,1,1.048645e-04,gap,0,0,1
1.612400e+06,1.275483e+06,0.16345499,5.11789215,1.246730e+06,2.887883e+06,0.79104627,0.24659728,1,1.522629e-03,lisa,0,1,0
1.342961e+06,1.228076e+06,0.16367300,5.10974321,1.117768e+06,2.571037e+06,0.91445396,0.24950083,1,1.710273e-03,lisa,0,1,0
9.879894e+06,1.317696e+06,0.16394299,5.09968136,2.876839e+06,1.119759e+07,0.13337147,0.10382893,1,3.926894e-04,gap,0,0,1
1.374166e+06,1.358832e+06,0.16403700,5.09618562,1.189584e+06,2.732998e+06,0.98884123,0.24999213,1,1.608920e-03,lisa,0,1,0
1.369300e+06,1.327610e+06,0.16415800,5.09169215,1.173730e+06,2.696910e+06,0.96955379,0.24994026,1,1.630449e-03,lisa,0,1,0
1.716209e+07,1.392750e+06,0.16433400,5.08516801,3.744334e+06,1.855484e+07,0.08115270,0.06942708,1,2.369826e-04,gap,0,0,1
9.757366e+06,1.381591e+06,0.16452900,5.07795586,2.940752e+06,1.113896e+07,0.14159467,0.10864833,1,3.947564e-04,gap,0,0,1
1.808164e+06,1.400047e+06,0.16482800,5.06693038,1.382852e+06,3.208211e+06,0.77429204,0.24595439,1,1.370600e-03,lisa,0,1,0
3.081340e+06,1.482890e+06,0.16512100,5.05616487,1.836689e+06,4.564230e+06,0.48124842,0.21933782,1,9.633990e-04,lisa,0,1,0
1.636448e+06,1.260010e+06,0.16551299,5.04182185,1.247936e+06,2.896458e+06,0.76996642,0.24577728,1,1.518121e-03,lisa,0,1,0
2.054473e+06,1.397542e+06,0.16562299,5.03780912,1.469686e+06,3.452015e+06,0.68024355,0.24094613,1,1.273799e-03,lisa,0,1,0
1.345062e+06,1.256112e+06,0.16564800,5.03689752,1.131432e+06,2.601174e+06,0.93386922,0.24970766,1,1.690458e-03,lisa,0,1,0
1.508370e+07,1.427825e+06,0.16580100,5.03132671,3.600413e+06,1.651152e+07,0.09466013,0.07899662,1,2.663094e-04,gap,0,0,1
1.630971e+06,1.353357e+06,0.16580699,5.03110882,1.292248e+06,2.984328e+06,0.82978606,0.24783664,1,1.473422e-03,lisa,0,1,0
1.804753e+06,1.351822e+06,0.16600400,5.02395123,1.356935e+06,3.156575e+06,0.74903436,0.24485279,1,1.393021e-03,lisa,0,1,0
1.583688e+06,1.437071e+06,0.16653299,5.00481622,1.313002e+06,3.020759e+06,0.90742053,0.24941105,1,1.455652e-03,lisa,0,1,0
1.647963e+06,1.362690e+06,0.16708900,4.98483443,1.303391e+06,3.010653e+06,0.82689356,0.24775539,1,1.460539e-03,lisa,0,1,0
1.310359e+06,1.225340e+06,0.16752200,4.96936522,1.102982e+06,2.535699e+06,0.93511778,0.24971895,1,1.734108e-03,lisa,0,1,0
2.213183e+06,1.477045e+06,0.16757800,4.96737042,1.567603e+06,3.690228e+06,0.66738494,0.24005163,1,1.191573e-03,lisa,0,1,0
1.374824e+06,1.343169e+06,0.16789500,4.95610352,1.182979e+06,2.717993e+06,0.97697523,0.24996609,1,1.617802e-03,lisa,0,1,0
4.395453e+06,1.197250e+06,0.16828001,4.94247647,1.919503e+06,5.592703e+06,0.27238376,0.16824609,1,7.862343e-04,lisa,0,1,0
2.532448e+06,1.309510e+06,0.16837400,4.93915925,1.568480e+06,3.841958e+06,0.51709255,0.22466951,1,1.144514e-03,lisa,0,1,0
2.160850e+06,1.492397e+06,0.16838001,4.93894727,1.558008e+06,3.653247e+06,0.69065275,0.24163003,1,1.203635e-03,lisa,0,1,0
1.477635e+06,1.379318e+06,0.16869199,4.92796374,1.242677e+06,2.856953e+06,0.93346327,0.24970393,1,1.539113e-03,lisa,0,1,0
1.630100e+06,1.602849e+06,0.16869199,4.92796374,1.407163e+06,3.232949e+06,0.98328262,0.24998224,1,1.360113e-03,lisa,0,1,0
1.107436e+07,1.371091e+06,0.16877300,4.92511835,3.089078e+06,1.244545e+07,0.12380770,0.09803105,1,3.533158e-04,gap,0,0,1
1.384373e+07,1.226118e+06,0.16917400,4.91107381,3.178699e+06,1.506985e+07,0.08856847,0.07474250,1,2.917863e-04,gap,0,0,1
1.807765e+06,1.346354e+06,0.16918001,4.91086382,1.355205e+06,3.154119e+06,0.74476163,0.24464993,1,1.394106e-03,lisa,0,1,0
2.018305e+08,1.309641e+06,0.16920200,4.91009563,9.811249e+06,2.031401e+08,0.00648882,0.00640542,1,2.164602e-05,gap,0,0,1
2.276882e+06,1.260926e+06,0.16927999,4.90737275,1.462417e+06,3.537808e+06,0.55379506,0.22938320,1,1.242909e-03,lisa,0,1,0
2.553322e+07,1.184609e+06,0.16933000,4.90562806,4.009112e+06,2.671783e+07,0.04639481,0.04237193,1,1.645783e-04,gap,0,0,1
1.261335e+06,1.234990e+06,0.16941801,4.90256018,1.086516e+06,2.496325e+06,0.97911340,0.24997216,1,1.761459e-03,lisa,0,1,0
2.645704e+06,1.965249e+06,0.17017899,4.87616603,1.980693e+06,4.610953e+06,0.74280759,0.24455551,1,9.536369e-04,lisa,0,1,0
2.487674e+06,1.344830e+06,0.17048800,4.86551546,1.577539e+06,3.832504e+06,0.54059736,0.22776953,1,1.147337e-03,lisa,0,1,0
2.336492e+07,1.226444e+06,0.17069399,4.85843708,3.946124e+06,2.459136e+07,0.05249083,0.04738564,1,1.788097e-04,gap,0,0,1
1.423201e+06,1.287051e+06,0.17072800,4.85727004,1.177919e+06,2.710252e+06,0.90433537,0.24936911,1,1.622423e-03,lisa,0,1,0
7.118069e+07,1.314131e+06,0.17088200,4.85199143,6.464562e+06,7.249482e+07,0.01846190,0.01779864,1,6.065502e-05,gap,0,0,1
2.701683e+07,1.439774e+06,0.17098700,4.84839783,4.603844e+06,2.845660e+07,0.05329174,0.04803553,1,1.545221e-04,gap,0,0,1
1.963419e+06,1.358242e+06,0.17100599,4.84774837,1.416847e+06,3.321661e+06,0.69177389,0.24170160,1,1.323788e-03,lisa,0,1,0
2.436271e+07,4.604060e+06,0.17138800,4.83471422,8.660439e+06,2.896677e+07,0.18897980,0.13368000,1,1.518007e-04,gap,0,0,1
2.719693e+06,1.337606e+06,0.17151301,4.83046149,1.640066e+06,4.057299e+06,0.49182242,0.22099073,1,1.083769e-03,lisa,0,1,0
2.151270e+07,1.203754e+06,0.17210101,4.81054115,3.772867e+06,2.271645e+07,0.05595551,0.05018242,1,1.935678e-04,gap,0,0,1
1.774874e+07,1.448417e+06,0.17251299,4.79666494,3.884985e+06,1.919716e+07,0.08160675,0.06975692,1,2.290534e-04,gap,0,0,1
1.480647e+06,1.407421e+06,0.17253201,4.79602591,1.256620e+06,2.888068e+06,0.95054459,0.24983929,1,1.522532e-03,lisa,0,1,0
1.590094e+06,1.465090e+06,0.17273600,4.78918118,1.328510e+06,3.055184e+06,0.92138578,0.24958148,1,1.439250e-03,lisa,0,1,0
1.638367e+06,1.272424e+06,0.17282601,4.78616610,1.254942e+06,2.910791e+06,0.77664162,0.24604866,1,1.510646e-03,lisa,0,1,0
